Token 	 Lexeme
Token: Separator	Lexeme: $$
Token: Identifier	Lexeme: int
Token: Identifier	Lexeme: m
Token: Operator  	Lexeme: =
Token: Integer	Lexeme: 2
Token: Separator	Lexeme: ;
Token: Identifier	Lexeme: int
Token: Identifier	Lexeme: x
Token: Operator  	Lexeme: =
Token: Integer	Lexeme: 3
Token: Separator	Lexeme: ;
Token: Identifier	Lexeme: int
Token: Identifier	Lexeme: b
Token: Operator  	Lexeme: =
Token: Integer	Lexeme: 4
Token: Separator	Lexeme: ;
Token: Identifier	Lexeme: int
Token: Identifier	Lexeme: y
Token: Operator  	Lexeme: =
Token: Identifier	Lexeme: m
Token: Operator  	Lexeme: *
Token: Identifier	Lexeme: x
Token: Operator  	Lexeme: +
Token: Identifier	Lexeme: b
Token: Separator	Lexeme: ;
Token: Separator	Lexeme: $$
